Car_ID,Brand,Model,Year,Fuel_Type_Clean,Transmission_Clean,Engine_CC_Clean,Mileage_Clean,Seating_Capacity_Clean,Service_Cost_Clean,Age,Price_Clean,Battery_Charge_Level,Battery_Specific_Gravity
1,Toyota,Innova,2024,CNG,Manual,1500,27.3,7,24100.0,1,2150000.0,,
2,Kia,EV6,2023,Electric,Manual,0,16.4,5,18800.0,2,2304000.0,100.0,1.284
3,Maruti Suzuki,Dzire,2016,Petrol,Manual,2000,17.6,5,24700.0,9,1176000.0,,
4,Honda,Amaze,2019,Electric,Manual,0,19.2,5,23300.0,6,1608000.0,,
5,Honda,City,2015,Petrol,Manual,1000,15.8,5,5800.0,10,1049000.0,,
6,Kia,Sonet,2020,Petrol,Manual,1800,21.5,5,23700.0,5,2014000.0,,
7,Toyota,Glanza,2019,CNG,Manual,1500,29.7,5,13300.0,6,838000.0,,
8,Volkswagen,Taigun,2017,CNG,Manual,1800,20.2,5,10200.0,8,1328000.0,,
9,Renault,Lodgy,2015,Petrol,Manual,1800,10.5,7,18900.0,10,1060000.0,,
10,Kia,EV6,2019,Electric,Automatic,0,16.1,5,15400.0,6,1724000.0,52.4,1.193
11,Honda,Jazz,2022,CNG,Automatic,1500,17.2,5,8500.0,3,958000.0,,
12,Honda,Civic,2018,Petrol,Manual,2000,10.8,5,7800.0,7,1696000.0,,
13,Renault,Kiger,2022,Petrol,Automatic,1000,29.6,5,19100.0,3,403000.0,,
14,Honda,Jazz,2022,CNG,Manual,2500,25.3,5,7300.0,3,2059000.0,,
15,Mahindra,Scorpio,2017,Diesel,Manual,2500,11.1,7,23300.0,8,1579000.0,,
16,Tata Motors,Punch,2016,Diesel,Automatic,2500,19.2,5,7300.0,9,1357000.0,,
17,Toyota,Fortuner,2016,CNG,Automatic,1500,14.9,7,9500.0,9,1143000.0,,
18,Skoda,Kushaq,2023,Petrol,Automatic,1500,21.8,5,21100.0,2,3014000.0,,
19,Tata Motors,Tiago,2015,CNG,Manual,1200,13.5,5,15400.0,10,220000.0,,
20,Skoda,Superb,2017,CNG,Manual,1200,26.9,5,24800.0,8,701000.0,,
21,Honda,Jazz,2024,Diesel,Manual,1500,24.8,5,5600.0,1,1218000.0,,
22,Toyota,Fortuner,2022,Diesel,Manual,2000,29.7,7,22600.0,3,2302000.0,,
23,Toyota,Camry,2023,CNG,Automatic,1800,12.2,5,23500.0,2,2536000.0,,
24,Mahindra,XUV700,2016,Petrol,Automatic,1500,21.3,7,8800.0,9,1071000.0,,
25,Toyota,Glanza,2020,CNG,Automatic,1800,16.5,5,5600.0,5,1896000.0,,
26,Tata Motors,Punch,2024,Petrol,Manual,1200,29.2,5,8200.0,1,523000.0,,
27,Maruti Suzuki,Ertiga,2015,CNG,Automatic,1500,15.6,7,24300.0,10,865000.0,,
28,Mahindra,XUV700,2019,Petrol,Manual,1500,13.8,7,11400.0,6,1475000.0,,
29,Tata Motors,Altroz,2018,CNG,Manual,800,21.4,5,15500.0,7,1184000.0,,
30,Renault,Kiger,2022,CNG,Automatic,800,22.5,5,15100.0,3,1606000.0,,
31,Tata Motors,Harrier,2023,Diesel,Manual,2500,13.9,5,13200.0,2,2457000.0,,
32,Kia,Carnival,2022,Diesel,Automatic,1500,10.1,7,14800.0,3,2309000.0,,
33,Toyota,Innova,2018,CNG,Manual,1500,25.0,7,12400.0,7,1319000.0,,
34,Honda,Amaze,2021,Electric,Automatic,0,29.4,5,17000.0,4,1727000.0,,
35,Volkswagen,Polo,2016,CNG,Automatic,1500,28.8,5,12400.0,9,672000.0,,
36,Maruti Suzuki,Swift,2019,Diesel,Manual,1500,11.9,5,16600.0,6,679000.0,,
37,Kia,EV6,2020,Electric,Automatic,0,16.0,5,5100.0,5,1850000.0,86.9,1.244
38,Hyundai,Verna,2019,Diesel,Automatic,1800,23.0,5,19300.0,6,1549000.0,,
39,Skoda,Slavia,2017,Diesel,Automatic,1800,10.7,5,6800.0,8,1810000.0,,
40,Toyota,Glanza,2015,Diesel,Automatic,1800,14.5,5,8300.0,10,1383000.0,,
41,Tata Motors,Harrier,2021,Diesel,Manual,1500,25.9,5,24400.0,4,1538000.0,,
42,Tata Motors,Harrier,2024,Diesel,Automatic,2000,16.8,5,14000.0,1,2406000.0,,
43,Tata Motors,Nexon,2022,CNG,Manual,1200,19.9,5,14300.0,3,382000.0,,
44,Tata Motors,Punch,2021,CNG,Automatic,1500,12.9,5,19400.0,4,880000.0,,
45,Mahindra,Scorpio,2022,CNG,Automatic,1800,25.9,7,16600.0,3,1736000.0,,
46,Maruti Suzuki,Dzire,2018,CNG,Manual,1500,27.6,5,12200.0,7,519000.0,,
47,Honda,Civic,2024,Diesel,Manual,2000,23.3,5,14700.0,1,2434000.0,,
48,Honda,Amaze,2022,Electric,Automatic,0,20.7,5,21400.0,3,2156000.0,,
49,Volkswagen,Virtus,2021,Diesel,Manual,1200,14.0,5,8300.0,4,490000.0,,
50,Volkswagen,Tiguan,2020,Petrol,Manual,1800,18.7,5,5500.0,5,1927000.0,,
51,Skoda,Octavia,2015,CNG,Automatic,2500,13.5,5,23600.0,10,1694000.0,,
52,Kia,Seltos,2023,Diesel,Manual,1500,12.6,5,6800.0,2,2182000.0,,
53,Mahindra,Bolero,2019,Petrol,Automatic,1200,22.0,7,23400.0,6,379000.0,,
